location,local_board
Another Council-managed facility,
A community-led facility,
Epsom Library,Albert-Eden
Mt Albert Library,Albert-Eden
Pt Chevalier Library,Albert-Eden
Great Barrier Library,Aotea / Great Barrier
Devonport Library,Devonport-Takapuna
Takapuna Library,Devonport-Takapuna
Pukekohe Library,Franklin
Waiuku Library,Franklin
Franklin Arts Centre,Franklin
Henderson Library,Henderson-Massey
Rānui Library,Henderson-Massey
Te Atatū Peninsula Community Hub,Henderson-Massey
Te Manawa Community Hub,Henderson-Massey
East Coast Bays Library,Hibiscus and Bays
Ōrewa Library,Hibiscus and Bays
Whangaparāoa Library,Hibiscus and Bays
Botany Library,Howick
Highland Park Library,Howick
Howick Library,Howick
Pakuranga Library,Howick
Birkenhead Library,Kaipātiki
Glenfield Library,Kaipātiki
Northcote Library,Kaipātiki
Māngere Bridge Library,Māngere-Ōtāhuhu
Māngere East Library,Māngere-Ōtāhuhu
Ōtāhuhu Library,Māngere-Ōtāhuhu
Māngere Town Centre Library,Māngere-Ōtāhuhu
Māngere Arts Centre,Māngere-Ōtāhuhu
Manurewa Library,Manurewa
Te Matariki Clendon Library,Manurewa
Glen Innes Library,Maungakiekie-Tāmaki
Panmure Library,Maungakiekie-Tāmaki
Onehunga & Oranga Community Hub,Maungakiekie-Tāmaki
Remuera Library,Ōrākei
St Heliers Library,Ōrākei
Manukau Library,Ōtara-Papatoetoe
Ōtara Library,Ōtara-Papatoetoe
Papatoetoe Library,Ōtara-Papatoetoe
Tupu Youth Library,Ōtara-Papatoetoe
Papakura Library,Papakura
Takaanini Community Hub,Papakura
Mt Roskill Library,Puketapapa
Helensville Library,Rodney
Kumeū Library,Rodney
Mahurangi East Library,Rodney
Warkworth Library,Rodney
Wellsford Library,Rodney
Albany Village Library,Upper Harbour
Waiheke Library,Waiheke
Glen Eden Library,Waitākere Ranges
Titirangi Library,Waitākere Ranges
Grey Lynn Library,Waitematā
Leys Institute Little Library,Waitematā
Parnell Library,Waitematā
Central City Library,Waitematā
Ellen Melville Centre,Waitematā
Avondale Library,Whau
Blockhouse Bay Library,Whau
New Lynn Community Hub,Whau
